what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1374938976254
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1374938980042
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1374939040576
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1374939044498
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1374939051958
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.copy",1374939062213
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1374939063726
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.copy",1374939066336
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1374939068811
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1374939553703
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1374939624617
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1374939664496
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1374939749888
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1374939755706
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1374940126710
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1374940209263
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1374940223918
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1374940226154
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1374940228525
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1374940241308
closed,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1374940682677
started,bundle,org.eclipse.compare,3.5.100.I20100526-0800,"org.eclipse.compare",1374940684997
stopped,bundle,org.eclipse.mylyn.ide.ant,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.ide.ant",1374940685434
stopped,bundle,org.eclipse.ant.ui,3.5.0.v20100427,"org.eclipse.ant.ui",1374940685435
stopped,bundle,org.eclipse.ant.launching,1.0.0.v20100427,"org.eclipse.ant.launching",1374940685511
stopped,bundle,org.eclipse.equinox.p2.ui.sdk,1.0.100.v20100513,"org.eclipse.equinox.p2.ui.sdk",1374940685647
stopped,bundle,org.eclipse.mylyn.java.tasks,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.java.tasks",1374940685647
stopped,bundle,org.eclipse.mylyn.java.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.java.ui",1374940685648
stopped,bundle,org.eclipse.jdt.junit,3.6.0.v20100526-0800,"org.eclipse.jdt.junit",1374940685648
stopped,bundle,org.eclipse.jdt.apt.ui,3.3.300.v20100513-0845,"org.eclipse.jdt.apt.ui",1374940685782
activated,perspective,org.eclipse.jdt.ui,,"org.eclipse.jdt.ui.JavaPerspective",1374941980425
started,bundle,org.eclipse.osgi,3.6.0.v20100517,"org.eclipse.osgi",1374941980427
started,bundle,org.eclipse.equinox.simpleconfigurator,1.0.200.v20100503,"org.eclipse.equinox.simpleconfigurator",1374941980436
started,bundle,com.ibm.icu,4.2.1.v20100412,"com.ibm.icu",1374941980444
started,bundle,org.eclipse.compare.core,3.5.100.I20100526-0800,"org.eclipse.compare.core",1374941980445
started,bundle,org.eclipse.core.contenttype,3.4.100.v20100505-1235,"org.eclipse.core.contenttype",1374941980461
started,bundle,org.eclipse.core.databinding.observable,1.3.0.I20100601-0800,"org.eclipse.core.databinding.observable",1374941980561
started,bundle,org.eclipse.core.expressions,3.4.200.v20100505,"org.eclipse.core.expressions",1374941980561
started,bundle,org.eclipse.core.filebuffers,3.5.100.v20100520-0800,"org.eclipse.core.filebuffers",1374941980561
started,bundle,org.eclipse.core.filesystem,1.3.0.v20100526-0737,"org.eclipse.core.filesystem",1374941980636
started,bundle,org.eclipse.core.jobs,3.5.0.v20100515,"org.eclipse.core.jobs",1374941980655
started,bundle,org.eclipse.core.net,1.2.100.I20100511-0800,"org.eclipse.core.net",1374941980656
started,bundle,org.eclipse.core.resources,3.6.0.v20100526-0737,"org.eclipse.core.resources",1374941980667
started,bundle,org.eclipse.core.runtime,3.6.0.v20100505,"org.eclipse.core.runtime",1374941980667
started,bundle,org.eclipse.core.runtime.compatibility,3.2.100.v20100505,"org.eclipse.core.runtime.compatibility",1374941980687
started,bundle,org.eclipse.core.runtime.compatibility.auth,3.2.200.v20100517,"org.eclipse.core.runtime.compatibility.auth",1374941980699
started,bundle,org.eclipse.core.variables,3.2.400.v20100505,"org.eclipse.core.variables",1374941980700
started,bundle,org.eclipse.debug.core,3.6.0.v20100519,"org.eclipse.debug.core",1374941980701
started,bundle,org.eclipse.equinox.app,1.3.0.v20100512,"org.eclipse.equinox.app",1374941980702
started,bundle,org.eclipse.equinox.common,3.6.0.v20100503,"org.eclipse.equinox.common",1374941980702
started,bundle,org.eclipse.equinox.ds,1.2.0.v20100507,"org.eclipse.equinox.ds",1374941980739
started,bundle,org.eclipse.equinox.event,1.2.0.v20100503,"org.eclipse.equinox.event",1374941980760
started,bundle,org.eclipse.equinox.p2.core,2.0.0.v20100510,"org.eclipse.equinox.p2.core",1374941980761
started,bundle,org.eclipse.equinox.p2.directorywatcher,1.0.200.v20100601,"org.eclipse.equinox.p2.directorywatcher",1374941980779
