what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.egit.core,0.9.3,"org.eclipse.egit.core",1376386290809
started,bundle,org.eclipse.egit.ui,0.9.3,"org.eclipse.egit.ui",1376386290810
started,bundle,org.eclipse.jgit,0.9.3,"org.eclipse.jgit",1376386290811
started,bundle,org.eclipse.cdt.codan.core,1.0.0.201102110609,"org.eclipse.cdt.codan.core",1376386290811
started,bundle,org.eclipse.cdt.codan.core.cxx,1.0.0.201102110609,"org.eclipse.cdt.codan.core.cxx",1376386290812
started,bundle,org.eclipse.cdt.codan.ui.cxx,1.0.0.201102110609,"org.eclipse.cdt.codan.ui.cxx",1376386290812
started,bundle,org.eclipse.cdt.core,5.2.1.201102110609,"org.eclipse.cdt.core",1376386290836
started,bundle,org.eclipse.cdt.core.tests,5.2.1.201102110609,"org.eclipse.cdt.core.tests",1376386290897
started,bundle,org.eclipse.cdt.make.core,7.0.1.201102110609,"org.eclipse.cdt.make.core",1376386290898
started,bundle,org.eclipse.cdt.make.ui,7.0.0.201102110609,"org.eclipse.cdt.make.ui",1376386290898
started,bundle,org.eclipse.cdt.managedbuilder.core,7.0.2.201102110609,"org.eclipse.cdt.managedbuilder.core",1376386290913
started,bundle,org.eclipse.cdt.scripting,1.0.0.201102110609,"org.eclipse.cdt.scripting",1376386290913
started,bundle,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui",1376386290943
started,bundle,org.eclipse.cdt.ui.tests,5.1.1.201102110609,"org.eclipse.cdt.ui.tests",1376386291020
started,bundle,org.eclipse.epp.usagedata.gathering,1.3.1.R201102081640,"org.eclipse.epp.usagedata.gathering",1376386291020
started,bundle,org.eclipse.epp.usagedata.recording,1.3.1.R201102081640,"org.eclipse.epp.usagedata.recording",1376386291020
os,sysinfo,,,"macosx",1376386291023
arch,sysinfo,,,"x86_64",1376386291023
ws,sysinfo,,,"cocoa",1376386291023
locale,sysinfo,,,"en_US",1376386291023
processors,sysinfo,,,"4",1376386291023
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1376386291023
java.runtime.version,sysinfo,,,"1.6.0_51-b11-456-11M4508",1376386291023
java.specification.name,sysinfo,,,"Java Platform API Specification",1376386291023
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1376386291023
java.specification.version,sysinfo,,,"1.6",1376386291023
java.vendor,sysinfo,,,"Apple Inc.",1376386291023
