what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.egit.ui,0.9.3,"org.eclipse.egit.ui",1372528300024
started,bundle,org.eclipse.jgit,0.9.3,"org.eclipse.jgit",1372528300025
started,bundle,org.eclipse.cdt.codan.core,1.0.0.201102110609,"org.eclipse.cdt.codan.core",1372528300025
started,bundle,org.eclipse.cdt.codan.core.cxx,1.0.0.201102110609,"org.eclipse.cdt.codan.core.cxx",1372528300025
started,bundle,org.eclipse.cdt.codan.ui.cxx,1.0.0.201102110609,"org.eclipse.cdt.codan.ui.cxx",1372528300026
started,bundle,org.eclipse.cdt.core,5.2.1.201102110609,"org.eclipse.cdt.core",1372528300056
started,bundle,org.eclipse.cdt.core.tests,5.2.1.201102110609,"org.eclipse.cdt.core.tests",1372528300074
started,bundle,org.eclipse.cdt.make.core,7.0.1.201102110609,"org.eclipse.cdt.make.core",1372528300074
started,bundle,org.eclipse.cdt.make.ui,7.0.0.201102110609,"org.eclipse.cdt.make.ui",1372528300075
started,bundle,org.eclipse.cdt.managedbuilder.core,7.0.2.201102110609,"org.eclipse.cdt.managedbuilder.core",1372528300110
started,bundle,org.eclipse.cdt.scripting,1.0.0.201102110609,"org.eclipse.cdt.scripting",1372528300111
started,bundle,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui",1372528300129
started,bundle,org.eclipse.cdt.ui.tests,5.1.1.201102110609,"org.eclipse.cdt.ui.tests",1372528300221
started,bundle,org.eclipse.epp.usagedata.gathering,1.3.1.R201102081640,"org.eclipse.epp.usagedata.gathering",1372528300221
started,bundle,org.eclipse.epp.usagedata.recording,1.3.1.R201102081640,"org.eclipse.epp.usagedata.recording",1372528300222
os,sysinfo,,,"macosx",1372528300225
arch,sysinfo,,,"x86_64",1372528300225
ws,sysinfo,,,"cocoa",1372528300225
locale,sysinfo,,,"en_US",1372528300225
processors,sysinfo,,,"4",1372528300225
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1372528300225
java.runtime.version,sysinfo,,,"1.6.0_51-b11-456-11M4508",1372528300225
java.specification.name,sysinfo,,,"Java Platform API Specification",1372528300225
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1372528300225
java.specification.version,sysinfo,,,"1.6",1372528300225
java.vendor,sysinfo,,,"Apple Inc.",1372528300225
java.version,sysinfo,,,"1.6.0_51",1372528300225
java.vm.info,sysinfo,,,"mixed mode",1372528300225
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1372528300225
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1372528300225
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1372528300225
java.vm.specification.version,sysinfo,,,"1.0",1372528300225
java.vm.vendor,sysinfo,,,"Apple Inc.",1372528300225
java.vm.version,sysinfo,,,"20.51-b01-456",1372528300225
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1372528481945
started,bundle,org.eclipse.ui.navigator,3.5.0.I20100601-0800,"org.eclipse.ui.navigator",1372528481983
opened,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1372528485948
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1372528486054
started,bundle,org.eclipse.jdt.junit,3.6.0.v20100526-0800,"org.eclipse.jdt.junit",1372528486197
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1372528504226
started,bundle,org.eclipse.mylyn.ide.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.ide.ui",1372528529237
started,bundle,org.eclipse.mylyn.java.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.java.ui",1372528529281
